event_id,time_utc,latitude,longitude,depth_km,magnitude,magnitude_type,distance_from_reference_km,author,catalog,contributor,contributor_id,magnitude_author,location_name,source
41712062,2025-02-16T11:14:31.990Z,40.813833,14.096833,2.600000,1.200000,Md,4.144317,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41711872,2025-02-16T11:18:46.430Z,40.819000,14.086667,3.200000,1.700000,Md,4.713954,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41712972,2025-02-16T14:30:02.640Z,40.809333,14.103000,3.000000,3.900000,Md,3.984270,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41713582,2025-02-16T15:28:14.019Z,40.828667,14.142833,1.500000,1.200000,Md,0.385111,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41713632,2025-02-16T15:29:32.579Z,40.831333,14.145000,2.200000,1.600000,Md,0.404271,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41714052,2025-02-16T16:13:04.559Z,40.830167,14.133333,2.600000,1.400000,Md,0.596465,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41714262,2025-02-16T16:18:55.519Z,40.830167,14.132000,2.800000,2.500000,Md,0.705650,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41714362,2025-02-16T16:24:14.210Z,40.831500,14.137333,2.600000,1.200000,Md,0.241213,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063361,2025-02-16T16:25:29.880Z,40.828167,14.133833,2.200000,1.200000,Md,0.651402,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063371,2025-02-16T16:26:53.289Z,40.831000,14.128167,2.500000,1.100000,Md,1.013916,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41714572,2025-02-16T16:30:41.910Z,40.831500,14.130667,2.900000,2.700000,Md,0.802051,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41714722,2025-02-16T16:39:55.269Z,40.828333,14.130667,1.900000,1.300000,Md,0.875974,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063381,2025-02-16T17:25:17.940Z,40.798500,14.117500,4.200000,1.000000,Md,4.136919,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41716162,2025-02-16T22:16:51.190Z,40.827167,14.155833,0.700000,1.300000,Md,1.400780,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063391,2025-02-16T22:26:28.630Z,40.824833,14.149500,0.900000,1.200000,Md,1.077900,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41716362,2025-02-16T22:45:12.130Z,40.831333,14.145000,2.400000,3.000000,Md,0.404271,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41716432,2025-02-16T22:46:47.490Z,40.827667,14.141000,2.100000,3.000000,Md,0.431493,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063401,2025-02-16T23:02:18.200Z,40.831667,14.145833,2.200000,1.700000,Md,0.474291,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063411,2025-02-16T23:11:23.940Z,40.835500,14.117333,2.200000,1.200000,Md,1.974584,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063421,2025-02-16T23:18:53.890Z,40.829500,14.143333,1.500000,1.200000,Md,0.344877,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41717192,2025-02-16T23:19:52.450Z,40.829167,14.147500,2.500000,3.900000,Md,0.666729,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41717992,2025-02-16T23:20:48.440Z,40.828333,14.149500,2.100000,2.300000,Md,0.858060,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41718732,2025-02-16T23:21:43.059Z,40.827000,14.149667,1.400000,2.000000,Md,0.940654,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41718842,2025-02-16T23:21:57.980Z,40.824167,14.150833,1.300000,1.200000,Md,1.210480,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41718322,2025-02-16T23:36:21.640Z,40.829667,14.148000,1.000000,1.100000,Md,0.687178,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41717722,2025-02-16T23:38:10.769Z,40.824000,14.148000,1.900000,2.000000,Md,1.061227,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41806222,2025-02-16T23:40:47.089Z,40.825333,14.138667,0.800000,1.100000,Md,0.697765,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
