experiment_id,window_id,relation_id,source_id,target_id,estimator_id,direction,estimability,strength,absolute_strength,sign,sample_count,p_value,non_estimable_reason,valid_block_count,minimum_valid_blocks_met,estimable_block_fraction,sign_preservation_fraction,strength_preservation_fraction,persistence,median_block_strength,median_block_absolute_strength,loo_estimable_count,loo_sign_preservation_fraction,loo_median_absolute_strength_change,leave_one_block_out_robust,bootstrap_estimable_count,bootstrap_estimable_fraction,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,bootstrap_interval_crosses_zero,bootstrap_interval_supports_full_sign,bootstrap_sign_support_fraction,missingness_estimable_count,missingness_estimable_fraction,missingness_sign_preservation_fraction,missingness_median_absolute_strength_change,missingness_stress_robust,classification_status,classification_reason,eligible_condition_count_met,eligible_condition_count_total,candidate_condition_count_met,candidate_condition_count_total,failed_eligible_conditions,failed_candidate_conditions,condition_estimable_on_full_baseline,condition_eligible_strength,condition_candidate_strength,condition_minimum_valid_blocks_met,condition_eligible_estimable_block_fraction,condition_eligible_sign_preservation,condition_eligible_persistence,condition_candidate_persistence,condition_eligible_ci_width,condition_candidate_ci_width,condition_eligible_interval_sign_support,condition_leave_one_block_out_robust,condition_missingness_stress_robust
CGIE3_ID_02,30d,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,spearman,undirected,estimable,0.1589628733,0.1589628733,1,8707,2.23596044e-50,,12,True,1,0.75,0.6666666667,0.5,0.1367299891,0.3856510395,12,1,0.03723440187,True,500,1,0.06854309212,0.2509380504,0.1823949583,False,True,1,100,1,1,0.002544312623,True,rejected,eligible_and_candidate_conditions_not_met,8,10,3,4,eligible_strength|eligible_persistence,candidate_strength,True,False,False,True,True,True,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,spearman,undirected,estimable,0.2029324391,0.2029324391,1,8707,1.352362708e-81,,12,True,1,0.5833333333,0.5,0.25,0.107758061,0.266621071,12,1,0.04215289014,True,500,1,0.108549475,0.2952071289,0.1866576538,False,True,1,100,1,1,0.002707718642,True,rejected,eligible_and_candidate_conditions_not_met,7,10,3,4,eligible_strength|eligible_sign_preservation|eligible_persistence,candidate_persistence,True,False,True,True,True,False,False,False,True,True,True,True,True
CGIE3_ID_02,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,estimable,-0.4485559896,0.4485559896,-1,8707,0,,12,True,1,0.75,0.8333333333,0.6666666667,-0.5458813203,0.5768107859,12,1,0.04223714756,True,500,1,-0.5345866763,-0.3513184127,0.1832682636,False,True,1,100,1,1,0.002311210198,True,candidate,candidate_conditions_met,9,10,4,4,eligible_persistence,,True,True,True,True,True,True,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,spearman,undirected,estimable,-0.07987057688,0.07987057688,-1,8707,8.413655282e-14,,12,True,1,0.5,0.6666666667,0.4166666667,-0.001768479942,0.3852917197,12,0.9166666667,0.03139821475,True,500,1,-0.1842457445,0.02520055651,0.209446301,True,False,0.926,100,1,1,0.002292756938,True,rejected,eligible_and_candidate_conditions_not_met,6,10,2,4,eligible_strength|eligible_sign_preservation|eligible_persistence|eligible_interval_sign_support,candidate_strength|candidate_persistence,True,False,False,True,True,False,False,False,True,True,False,True,True
CGIE3_ID_02,30d,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,estimable,-0.1237233121,0.1237233121,-1,8707,4.758975397e-31,,12,True,1,0.6666666667,0.75,0.5,-0.2048655646,0.3240122692,12,0.9166666667,0.03759686957,True,500,1,-0.2289867302,-0.02411400456,0.2048727256,False,True,0.99,100,1,1,0.002622197232,True,rejected,eligible_and_candidate_conditions_not_met,7,10,3,4,eligible_strength|eligible_sign_preservation|eligible_persistence,candidate_strength,True,False,False,True,True,False,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,spearman,undirected,estimable,0.1628290963,0.1628290963,1,8671,1.367241454e-52,,12,True,1,0.4166666667,0.6666666667,0.4166666667,-0.08803242982,0.3978059017,12,1,0.03682437658,True,500,1,0.05811163587,0.2568699378,0.1987583019,False,True,1,100,1,1,0.002172521321,True,rejected,eligible_and_candidate_conditions_not_met,7,10,2,4,eligible_strength|eligible_sign_preservation|eligible_persistence,candidate_strength|candidate_persistence,True,False,False,True,True,False,False,False,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,estimable,-0.7624175354,0.7624175354,-1,8707,0,,12,True,1,0.8333333333,0.8333333333,0.75,-0.4627172519,0.5195120549,12,1,0.027395754,True,500,1,-0.8141484539,-0.6936662321,0.1204822218,False,True,1,100,1,1,0.001294326669,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,spearman,undirected,estimable,0.3148075384,0.3148075384,1,8719,7.641809013e-200,,12,True,1,0.8333333333,1,0.8333333333,0.8076857769,0.8076857769,12,1,0.03189666078,True,500,1,0.2008479221,0.4199297246,0.2190818025,False,True,1,100,1,1,0.00272101982,True,eligible,all_frozen_eligible_conditions_met,10,10,4,4,,,True,True,True,True,True,True,True,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,spearman,undirected,estimable,0.2076225819,0.2076225819,1,8719,1.607429443e-85,,12,True,1,0.6666666667,0.75,0.5833333333,0.3248769718,0.5589132382,12,1,0.0290927451,True,500,1,0.0926517655,0.3198999212,0.2272481557,False,True,1,100,1,1,0.002404945024,True,candidate,candidate_conditions_met,7,10,4,4,eligible_strength|eligible_sign_preservation|eligible_persistence,,True,False,True,True,True,False,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,spearman,undirected,estimable,-0.2924734839,0.2924734839,-1,8719,1.584897242e-171,,12,True,1,0.5,0.9166666667,0.5,-0.05142003745,0.4397139228,12,1,0.03515422997,True,500,1,-0.3873616307,-0.1882414494,0.1991201812,False,True,1,100,1,1,0.002164657703,True,candidate,candidate_conditions_met,7,10,4,4,eligible_strength|eligible_sign_preservation|eligible_persistence,,True,False,True,True,True,False,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,spearman,undirected,estimable,-0.784506337,0.784506337,-1,8707,0,,12,True,1,0.9166666667,0.75,0.6666666667,-0.5629111681,0.634528773,12,1,0.02654318718,True,500,1,-0.8272003448,-0.7372399106,0.08996043423,False,True,1,100,1,1,0.001317709856,True,candidate,candidate_conditions_met,9,10,4,4,eligible_persistence,,True,True,True,True,True,True,False,True,True,True,True,True,True
CGIE3_ID_02,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,spearman,undirected,estimable,-0.3093456145,0.3093456145,-1,8707,2.006684154e-192,,12,True,1,0.5833333333,0.8333333333,0.5,-0.2555574398,0.5350424943,12,1,0.04056572583,True,500,1,-0.3906265318,-0.2081176446,0.1825088873,False,True,1,100,1,1,0.001904036468,True,candidate,candidate_conditions_met,8,10,4,4,eligible_sign_preservation|eligible_persistence,,True,True,True,True,True,False,False,True,True,True,True,True,True
