experiment_id,window_id,relation_id,source_id,target_id,id02_status,null_id,observed_strength,observed_absolute_strength,paired_observation_count,requested_repetitions,estimable_repetitions,null_admissible,non_admissible_reason,null_mean_absolute_strength,null_median_absolute_strength,null_q95_absolute_strength,empirical_p_value,id02_status_modified,corrected_p_value,passes_alpha_0_05,passes_alpha_0_10
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,circular_temporal_shift,-0.3524839608,0.3524839608,8707,300,300,True,,0.1610128933,0.1494525087,0.3189953627,0.02990033223,False,0.05520061334,False,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,independent_block_permutation,-0.3524839608,0.3524839608,8707,300,300,True,,0.1611371942,0.1297307439,0.3874576746,0.1063122924,False,0.1417497231,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,within_window_value_permutation,-0.3524839608,0.3524839608,8707,300,300,True,,0.008886431509,0.007345170442,0.02151384508,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,circular_temporal_shift,-0.2739458103,0.2739458103,8707,300,300,True,,0.1485267712,0.1316616727,0.2964369451,0.09634551495,False,0.1156146179,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,independent_block_permutation,-0.2739458103,0.2739458103,8707,300,300,True,,0.1480870049,0.1316379762,0.3669652425,0.1262458472,False,0.1514950166,False,False
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,within_window_value_permutation,-0.2739458103,0.2739458103,8707,300,300,True,,0.008837301881,0.007905086243,0.0217101484,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,circular_temporal_shift,0.5475655167,0.5475655167,8707,300,300,True,,0.2093048381,0.2129882705,0.4158152572,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,independent_block_permutation,0.5475655167,0.5475655167,8707,300,300,True,,0.1812933609,0.1479839009,0.4493520406,0.009966777409,False,0.01993355482,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,within_window_value_permutation,0.5475655167,0.5475655167,8707,300,300,True,,0.008336258813,0.007375239058,0.02003438848,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,circular_temporal_shift,0.9768087719,0.9768087719,8707,300,300,True,,0.1817009338,0.1476824489,0.4704326851,0.003322259136,False,0.007973421927,True,True
