experiment_id,window_id,relation_id,source_id,target_id,id02_status,sampling_scheme,stride_hours,sampled_row_count,paired_observation_count,estimability,non_estimable_reason,strength,absolute_strength,sign,bootstrap_estimable_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,bootstrap_seed,id02_status_modified,nominal_spacing_hours,irregular_spacing_fraction
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,non_overlapping,720,13,12,estimable,,-0.1188811189,0.1188811189,-1,300,-0.4830685921,0.5074626866,0.9905312786,-0.06918766784,,674115245,False,1,0
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,rolling_full,1,8760,8707,estimable,,-0.3093456145,0.3093456145,-1,300,-0.4958374636,-0.1279918324,0.3678456312,0.9999138432,0.9991111308,3689984693,False,1,0
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,half_window_stride,360,25,24,estimable,,0.6434782609,0.6434782609,1,300,0.2289458315,0.839909811,0.6109639795,0.5820930558,0.6079641407,1968617192,False,1,0
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,non_overlapping,720,13,12,estimable,,0.6013986014,0.6013986014,1,300,0.0573605318,0.8472984767,0.7899379449,-0.06918766784,,47284770,False,1,0
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,rolling_full,1,8760,8671,estimable,,0.7035004302,0.7035004302,1,300,0.5934493955,0.7955664462,0.2021170507,0.9999138432,0.999343589,1812406435,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,half_window_stride,360,25,24,estimable,,-0.36,0.36,-1,300,-0.7078288494,0.05300703577,0.7608358852,0.5533494325,0.3097594362,2554802572,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,non_overlapping,720,13,12,estimable,,-0.1188811189,0.1188811189,-1,300,-0.6611441364,0.319399419,0.9805435555,,,2132568774,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,rolling_full,1,8760,8707,estimable,,-0.3524839608,0.3524839608,-1,300,-0.5293688217,-0.1718534995,0.3575153222,0.9974650069,0.9986314761,3937067748,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,half_window_stride,360,25,24,estimable,,-0.2925276818,0.2925276818,-1,300,-0.6988898958,0.1743194409,0.8732093367,0.5533494325,0.2841029959,3128399433,False,1,0
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,non_overlapping,720,13,12,estimable,,-0.1087725994,0.1087725994,-1,300,-0.6289517156,0.3115889271,0.9405406427,,,2209038578,False,1,0
