experiment_id,window_id,relation_id,source_id,target_id,id02_status,nominal_sample_count,half_stride_sample_count,nonoverlap_sample_count,rolling_strength,half_stride_strength,nonoverlap_strength,rolling_sign,half_stride_sign,nonoverlap_sign,half_stride_absolute_strength_change,nonoverlap_absolute_strength_change,nonoverlap_sign_preserved,rolling_bootstrap_ci_width,half_stride_bootstrap_ci_width,nonoverlap_bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,effective_support_diagnostic,overlap_class,strongly_overlap_sensitive_flag,nonoverlap_estimable,id02_status_modified
CGIE3_ID_03,3d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,6411,176,86,-0.3260219094,-0.3399875412,-0.3744987971,-1,-1,-1,0.01396563187,0.04847688774,True,0.2726926547,0.34547165,0.3449749389,0.9722844533,0.9656062031,86,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,eligible,8676,104,52,-0.364965898,-0.3606844964,-0.3795486183,-1,-1,-1,0.004281401619,0.0145827203,True,0.3000459494,0.3402271817,0.4324351258,0.9833793059,0.9939618396,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,8676,104,52,-0.688406885,-0.6381592776,-0.7096145467,-1,-1,-1,0.05024760741,0.02120766174,True,0.1750068296,0.3997240321,0.2371450886,0.9995112049,0.9698050164,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,8719,104,52,0.7666303704,0.755011527,0.7639567123,1,1,1,0.01161884342,0.00267365811,True,0.1292038388,0.2102705673,0.2189681474,0.9995112049,0.9944621502,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,8719,104,52,0.6896061577,0.684602912,0.7077448146,1,1,1,0.005003245711,0.01813865687,True,0.1754532942,0.2221769682,0.2814213902,0.9995112049,0.9934766805,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,8719,104,52,-0.2208414768,-0.2272980135,-0.2506487663,-1,-1,-1,0.006456536643,0.02980728941,True,0.3270151282,0.4949696501,0.4591341634,0.9995112049,0.9939618396,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,8676,104,52,-0.810951928,-0.8188461672,-0.7853940548,-1,-1,-1,0.007894239186,0.02555787318,True,0.137601688,0.1905894532,0.1901891358,0.9995112049,0.9793224747,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,8578,102,52,0.7135910808,0.7050176892,0.6734577515,1,1,1,0.008573391541,0.04013332928,True,0.1864235435,0.2640333693,0.3575964585,0.9995112049,0.993065407,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,8676,104,52,-0.5874195081,-0.5363611874,-0.6219585076,-1,-1,-1,0.0510583208,0.03453899949,True,0.1910292365,0.2855353939,0.2294139241,0.9698050164,0.9944621502,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,eligible,8676,104,52,-0.5469559863,-0.5071696683,-0.5992483619,-1,-1,-1,0.03978631798,0.05229237563,True,0.2017000617,0.2663730123,0.3129009831,0.9698050164,0.9934766805,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,8676,104,52,0.8876132627,0.8513663097,0.9244429267,1,1,1,0.03624695293,0.03682966401,True,0.1151024527,0.2802330034,0.1753006176,0.9698050164,0.9793224747,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,candidate,8676,104,52,0.3415741573,0.2403399134,0.1831298557,1,1,1,0.1012342439,0.1584443016,True,0.3131851742,0.401306617,0.4512084062,0.9698050164,0.9899491881,52,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,7d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,8578,102,52,-0.8309718002,-0.8260230363,-0.8162725177,-1,-1,-1,0.00494876384,0.01469928247,True,0.1005679295,0.15761359,0.2673764048,0.9698050164,0.993065407,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,8719,104,52,0.9820847483,0.9854201589,0.9855028731,1,1,1,0.003335410594,0.003418124873,True,0.01606680645,0.01936337404,0.0276133875,0.9944621502,0.9934766805,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,8676,104,52,-0.6690150291,-0.6604039305,-0.6570477248,-1,-1,-1,0.008611098536,0.0119673043,True,0.1551751917,0.2095037132,0.2165415812,0.9944621502,0.9793224747,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,eligible,8578,102,52,0.6071523526,0.5864088979,0.5654401093,1,1,1,0.02074345467,0.04171224327,True,0.2052484492,0.2258229832,0.3485969366,0.9944621502,0.993065407,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,8676,104,52,-0.6068095001,-0.6007658905,-0.6156292143,-1,-1,-1,0.006043609597,0.008819714234,True,0.1871193619,0.1960571133,0.2540200508,0.9934766805,0.9793224747,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,8578,102,52,0.55085097,0.543959089,0.5480100822,1,1,1,0.006891881065,0.002840887861,True,0.2397847204,0.2175227072,0.3833307707,0.9934766805,0.993065407,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,8676,104,52,0.5172865986,0.4761549998,0.4617669605,1,1,1,0.04113159876,0.0555196381,True,0.1978735731,0.2866162568,0.3986641536,0.9939618396,0.9899491881,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,candidate,8676,104,52,0.3727351704,0.2780462824,0.2419533851,1,1,1,0.09468888804,0.1307817853,True,0.3016187171,0.4484489129,0.5449660136,0.9793224747,0.9899491881,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,8578,102,52,-0.8975932607,-0.8985179447,-0.8973789806,-1,-1,-1,0.0009246840486,0.0002142800763,True,0.06749172078,0.08672112038,0.1745564217,0.9793224747,0.993065407,52,overlap_robust,False,True,False
CGIE3_ID_03,7d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,eligible,8578,102,52,-0.3687397992,-0.2975555694,-0.2586869291,-1,-1,-1,0.07118422979,0.1100528701,True,0.2975395108,0.4788923155,0.4514865673,0.9899491881,0.993065407,52,overlap_robust,False,True,False
