experiment_id,relation_id,source_id,target_id,estimator_id,direction,status,estimability,strength,absolute_strength,sign,uncertainty,sample_count,persistence,window_id,timestamp_utc,p_value,non_estimable_reason
CGIE3_ID_02,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,spearman,undirected,candidate,estimable,0.726327815,0.726327815,1,,6411,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,-0.1412897583,0.1412897583,-1,,7429,,3d,2025-12-31T23:00:00+00:00,1.962639862e-34,
CGIE3_ID_02,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,spearman,undirected,candidate,estimable,-0.1564713734,0.1564713734,-1,,7429,,3d,2025-12-31T23:00:00+00:00,6.207125979e-42,
CGIE3_ID_02,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,spearman,undirected,candidate,estimable,0.2309277449,0.2309277449,1,,7429,,3d,2025-12-31T23:00:00+00:00,1.658115957e-90,
CGIE3_ID_02,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,spearman,undirected,candidate,estimable,0.3619797493,0.3619797493,1,,7429,,3d,2025-12-31T23:00:00+00:00,7.99718727e-229,
CGIE3_ID_02,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.3033568497,0.3033568497,1,,7429,,3d,2025-12-31T23:00:00+00:00,6.176068048e-158,
CGIE3_ID_02,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,spearman,undirected,candidate,estimable,-0.6501812247,0.6501812247,-1,,6411,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,spearman,undirected,candidate,estimable,0.9857719933,0.9857719933,1,,8366,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--median_depth_km,log10_cumulative_energy_joule,median_depth_km,spearman,undirected,candidate,estimable,-0.0606399275,0.0606399275,-1,,8366,,3d,2025-12-31T23:00:00+00:00,2.844278816e-08,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.6192985896,0.6192985896,-1,,7429,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--spatial_dispersion_km,log10_cumulative_energy_joule,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.1375761816,0.1375761816,-1,,7429,,3d,2025-12-31T23:00:00+00:00,1.017475098e-32,
CGIE3_ID_02,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,spearman,undirected,candidate,estimable,0.6035365782,0.6035365782,1,,6411,,3d,2025-12-31T23:00:00+00:00,0,
